timestamp,distance_m,azimuth_input_deg,azimuth_ccw_deg,avg_rssi_dbm,max_rssi_dbm,min_rssi_dbm,sample_count
2026-09-18 14:22:16,5.000,0.00,0.00,-32.06,-31.00,-33.00,215
2026-09-18 14:22:30,5.000,45.00,315.00,-40.54,-35.00,-48.00,217
2026-09-18 14:22:40,5.000,90.00,270.00,-31.11,-29.00,-33.00,212
2026-09-18 14:22:53,5.000,135.00,225.00,-35.98,-35.00,-37.00,216
2026-09-18 14:23:06,5.000,180.00,180.00,-47.79,-45.00,-51.00,214
2026-09-18 14:23:19,5.000,225.00,135.00,-34.84,-33.00,-39.00,212
2026-09-18 14:23:32,5.000,270.00,90.00,-32.42,-29.00,-34.00,213
2026-09-18 14:23:44,5.000,315.00,45.00,-35.46,-33.00,-38.00,212
2026-09-18 14:24:02,2.500,0.00,0.00,-26.92,-26.00,-29.00,212
2026-09-18 14:24:12,2.500,45.00,315.00,-36.97,-35.00,-42.00,216
2026-09-18 14:24:24,2.500,90.00,270.00,-35.34,-32.00,-38.00,214
2026-09-18 14:24:35,2.500,135.00,225.00,-37.34,-36.00,-41.00,213
2026-09-18 14:24:49,2.500,180.00,180.00,-39.57,-38.00,-41.00,216
2026-09-18 14:25:07,2.500,225.00,135.00,-31.06,-27.00,-36.00,215
2026-09-18 14:25:20,2.500,270.00,90.00,-31.70,-28.00,-33.00,214
2026-09-18 14:25:42,2.500,315.00,45.00,-30.57,-29.00,-33.00,214
2026-09-18 15:16:28,120.000,0.00,0.00,-65.20,-63.00,-68.00,5
2026-09-18 15:17:22,130.000,0.00,0.00,-56.31,-54.00,-60.00,215
2026-09-18 15:17:35,130.000,0.00,0.00,-55.78,-54.00,-59.00,214
2026-09-18 15:18:47,117.000,0.00,0.00,-64.58,-62.00,-68.00,19
2026-09-18 15:21:00,130.000,0.00,0.00,-92.33,-92.00,-93.00,12
2026-09-18 15:21:49,117.000,0.00,0.00,-92.12,-89.00,-95.00,24
2026-09-18 15:32:49,200.000,0.00,0.00,-71.60,-70.00,-74.00,5
2026-09-18 15:37:28,342.000,0.00,0.00,-73.67,-72.00,-75.00,6
